"STOP_LOCATION_X","STOP_LOCATION_Y","AFTER_6PM"
1000138,230961,TRUE
1000138,230961,TRUE
999954,229627,TRUE
1000038,229777,TRUE
999954,229627,TRUE
1001128,232587,TRUE
987448,200636,FALSE
989639,213847,FALSE
989661,224396,FALSE
1000038,229777,TRUE
1000864,229504,TRUE
994926,229324,FALSE
994926,229324,FALSE
993452,229799,FALSE
992627,227800,TRUE
993099,229738,TRUE
999725,243387,TRUE
999629,243379,TRUE
983507,199361,FALSE
983269,210135,FALSE
983937,209486,FALSE
994276,218779,TRUE
990167,211708,FALSE
995786,219381,FALSE
984930,210727,TRUE
983026,209711,FALSE
1000128,229888,FALSE
1001694,229087,FALSE
991913,228524,FALSE
1000396,235646,FALSE
985545,200534,FALSE
1004580,252956,FALSE
1005199,253369,FALSE
988017,215107,TRUE
987827,213836,FALSE
986568,214237,TRUE
994646,218785,FALSE
1002271,229536,TRUE
1001689,229473,TRUE
995489,216874,FALSE
995370,217827,FALSE
990168,218969,TRUE
994482,229688,TRUE
997062,235497,FALSE
997198,238992,TRUE
1001615,246151,FALSE
985534,214118,TRUE
1000898,229914,TRUE
989355,221457,FALSE
999110,235350,FALSE
995706,238045,FALSE
983295,208425,FALSE
994795,216577,FALSE
999363,233454,FALSE
998041,231492,TRUE
986326,205404,TRUE
998092,220404,FALSE
1001569,246996,TRUE
1006554,254361,FALSE
987034,206937,TRUE
989310,201212,FALSE
986971,219344,TRUE
1000140,233026,TRUE
1000140,233026,TRUE
1000140,233026,TRUE
1000140,233026,TRUE
1000140,233026,TRUE
997232,234524,FALSE
994185,233553,FALSE
999391,236502,FALSE
993881,231145,TRUE
992319,228328,FALSE
992319,228328,FALSE
1002264,248840,FALSE
1001446,234215,FALSE
999112,233342,FALSE
999768,235189,TRUE
989027,223395,FALSE
990664,213169,FALSE
997940,221011,FALSE
1001469,241128,FALSE
1001936,245281,FALSE
987341,215631,FALSE
988257,215427,FALSE
988257,215427,FALSE
988103,215274,FALSE
1002026,233152,TRUE
988103,215274,FALSE
988257,215427,FALSE
988845,223155,FALSE
1000814,245520,FALSE
985996,209222,FALSE
985405,208308,FALSE
986351,213960,TRUE
1002014,228960,TRUE
1002014,228960,TRUE
998815,228410,FALSE
1002381,230885,TRUE
1002381,230885,TRUE
1005336,254212,FALSE
1005336,254212,FALSE
1004000,253559,TRUE
1003844,250988,FALSE
1005686,254817,FALSE
985698,206990,FALSE
989855,213302,FALSE
989855,213302,FALSE
987700,215393,TRUE
989545,213791,FALSE
989545,213791,FALSE
990368,224694,FALSE
1000674,226999,TRUE
1000155,229511,TRUE
1002381,230885,TRUE
1002381,230885,TRUE
1002471,230061,TRUE
997060,230626,TRUE
988348,205156,FALSE
998855,241981,FALSE
990519,217654,FALSE
990519,217654,FALSE
1001331,236999,FALSE
987048,206851,FALSE
996732,225796,FALSE
991041,224162,FALSE
990368,224694,FALSE
989661,224396,FALSE
989255,219170,FALSE
990762,226343,FALSE
986492,213732,FALSE
986372,215487,FALSE
989281,211056,FALSE
1002618,229246,TRUE
997295,230706,FALSE
999729,234275,TRUE
999729,234275,TRUE
1000538,245018,TRUE
998941,243706,TRUE
1005096,254154,FALSE
984338,206384,TRUE
983874,206491,TRUE
992227,228933,FALSE
999847,230495,TRUE
997985,240579,TRUE
1002024,249023,TRUE
1002024,249023,TRUE
1002024,249023,TRUE
988994,205687,FALSE
986944,214915,TRUE
1001185,231635,TRUE
999477,233821,FALSE
1000053,236127,TRUE
1000347,237246,FALSE
1002033,236329,FALSE
1001928,236133,TRUE
999269,244215,TRUE
1005096,254154,TRUE
1005096,254154,TRUE
987714,214449,TRUE
992467,213390,TRUE
998991,233489,FALSE
987078,215157,TRUE
987078,215157,TRUE
985257,199733,FALSE
988103,215274,FALSE
988162,217114,FALSE
981300,206295,TRUE
985730,203746,FALSE
987706,209436,TRUE
988247,219686,FALSE
988247,219686,FALSE
1000716,229293,FALSE
999363,226710,FALSE
1007150,255092,FALSE
989701,203881,TRUE
1002775,231145,FALSE
998152,230453,FALSE
1006540,253991,TRUE
992063,228791,TRUE
983174,207253,FALSE
983174,207253,FALSE
983174,207253,FALSE
983174,207253,FALSE
986844,207373,FALSE
992007,227072,FALSE
1000234,233081,FALSE
1002277,233693,TRUE
997150,230870,FALSE
997413,230685,FALSE
986930,207834,TRUE
989970,203987,FALSE
990903,225773,FALSE
1006507,254048,FALSE
1004367,254624,FALSE
983676,210148,FALSE
983257,211319,FALSE
989197,220017,FALSE
999204,240347,FALSE
989177,221062,FALSE
989177,221062,FALSE
999394,230606,FALSE
999394,230606,FALSE
1001935,247543,TRUE
994010,224717,FALSE
994010,224717,FALSE
991725,217725,TRUE
991725,217725,TRUE
991725,217725,TRUE
998174,234792,FALSE
1000615,239544,FALSE
998732,227121,FALSE
1002081,234595,FALSE
1001743,233091,FALSE
1000856,229996,TRUE
1001479,229767,TRUE
997670,230545,FALSE
1005336,254212,FALSE
1005096,254154,FALSE
1005131,254171,FALSE
1000077,225572,FALSE
989211,222689,TRUE
991934,227321,TRUE
982472,205606,FALSE
985930,215793,TRUE
985930,215793,TRUE
985930,215793,TRUE
985930,215793,TRUE
988985,216174,FALSE
991931,228283,TRUE
991931,228283,TRUE
1002381,230885,FALSE
999342,233575,TRUE
998555,234012,TRUE
997690,234550,FALSE
996945,238532,FALSE
984781,207131,FALSE
983444,206482,FALSE
984291,210239,FALSE
991169,213646,FALSE
1001125,230473,TRUE
1001125,230473,TRUE
998902,236382,FALSE
1003194,249262,FALSE
989701,203881,TRUE
987714,214449,FALSE
992066,227872,FALSE
999503,243153,TRUE
992221,218955,FALSE
1002776,231994,FALSE
995369,221138,FALSE
995369,221138,FALSE
999115,228700,FALSE
992960,230413,FALSE
999389,239642,FALSE
998282,235695,FALSE
984108,206079,TRUE
984108,206079,TRUE
1001623,234372,TRUE
989808,202534,FALSE
1001572,241623,FALSE
1001131,234700,TRUE
983994,212276,FALSE
986434,210478,TRUE
996364,235745,FALSE
1000345,237505,TRUE
1000993,232340,FALSE
996981,237108,FALSE
988199,216007,FALSE
999366,226991,TRUE
994926,229324,FALSE
991570,228072,FALSE
986936,198946,TRUE
990652,208875,TRUE
995407,218815,FALSE
992063,228791,TRUE
998875,236772,TRUE
1000234,233081,TRUE
1000328,230176,TRUE
987106,200418,FALSE
996216,231648,FALSE
992960,230413,TRUE
1000719,230889,TRUE
992960,230413,FALSE
988470,219527,FALSE
1001922,232705,FALSE
999638,225774,TRUE
994260,229982,TRUE
995306,230954,FALSE
999870,230473,FALSE
999755,230544,FALSE
1005067,253188,FALSE
988242,204326,FALSE
987774,214013,FALSE
986061,213320,FALSE
994257,219133,FALSE
995299,219969,TRUE
995163,219720,FALSE
996812,223656,FALSE
